SAL_CODE_2021,SAL_NAME,Total_Population,Median_Age,Median_Income,Household_Size,STATE_NAME,Census_Year
SAL10001,Aarons Pass,33,59,1625,2.4,NSW,2021
SAL10002,Abbotsbury,4200,42,2621,3.3,NSW,2021
SAL10003,Abbotsford (NSW),5431,47,2263,2.3,NSW,2021
SAL10004,Abercrombie,1127,39,2202,2.8,NSW,2021
SAL10005,Abercrombie River,21,58,1024,1.8,NSW,2021
SAL10006,Aberdare,2542,36,1251,2.5,NSW,2021
SAL10007,Aberdeen (NSW),2051,41,1426,2.4,NSW,2021
SAL10008,Aberfoyle,121,37,2250,2.9,NSW,2021
SAL10009,Aberglasslyn,6552,32,2147,3.0,NSW,2021
SAL10010,Abermain,2544,37,1449,2.7,NSW,2021
SAL10011,Abernethy,317,37,2069,3.0,NSW,2021
SAL10012,Abington (NSW),29,42,2374,2.7,NSW,2021
SAL10013,Acacia Creek,30,53,949,2.1,NSW,2021
SAL10014,Acacia Gardens,3668,36,2796,3.2,NSW,2021
SAL10015,Adaminaby,339,52,954,2.0,NSW,2021
SAL10016,Adamstown,6335,36,1875,2.4,NSW,2021
SAL10017,Adamstown Heights,5621,39,2325,2.8,NSW,2021
SAL10018,Adelong,938,49,1158,2.3,NSW,2021
SAL10019,Adjungbilly,101,41,2312,2.8,NSW,2021
SAL10020,Afterlee,32,64,762,1.8,NSW,2021
SAL10021,Agnes Banks,996,38,2454,3.1,NSW,2021
SAL10022,Airds,3265,29,944,2.9,NSW,2021
SAL10023,Akolele,165,43,778,2.4,NSW,2021
SAL10024,Albert,77,50,1187,2.6,NSW,2021
SAL10025,Albion Park,13826,36,1938,2.9,NSW,2021
SAL10026,Albion Park Rail,6920,41,1411,2.5,NSW,2021
SAL10027,Albury,4955,45,1601,2.0,NSW,2021
SAL10028,Aldavilla,1443,36,1222,2.5,NSW,2021
SAL10029,Alectown,151,49,1803,2.4,NSW,2021
SAL10030,Alexandria,9649,34,2654,2.0,NSW,2021
SAL10031,Alfords Point,3131,43,2969,3.3,NSW,2021
SAL10032,Alfredtown,80,41,2624,3.1,NSW,2021
SAL10033,Alice,4,59,1074,3.0,NSW,2021
SAL10034,Alison (Central Coast - NSW),85,47,2249,2.9,NSW,2021
SAL10035,Alison (Dungog - NSW),99,53,1375,2.1,NSW,2021
SAL10036,Allambie Heights,7317,43,2890,3.0,NSW,2021
SAL10037,Allandale (NSW),68,49,2124,2.3,NSW,2021
SAL10038,Allawah,5351,36,1774,2.5,NSW,2021
SAL10039,Alleena,60,31,1875,3.2,NSW,2021
