SAL_ID,Suburb_Name,SAL_CODE_2021,Population,Median_Age,Median_Rent_Weekly,Median_Income_Weekly,HH_Size,Postcode,Median_House_Price,One_Year_Growth_Pct,School_Count,Commute_Time_Mins,Parks_Count,Rental_Yield_Pct
SAL10001,Aarons Pass,SAL10001,33,59,0,1625,2.4,10001,621958,6.06,5,35,14,0.0
SAL10002,Abbotsbury,SAL10002,4200,42,550,2621,3.3,10002,1171155,0.71,14,28,5,2.44
SAL10003,Abbotsford (NSW),SAL10003,5431,47,550,2263,2.3,10003,631932,2.72,10,28,17,4.53
SAL10004,Abercrombie,SAL10004,1127,39,393,2202,2.8,10004,1914414,5.11,8,56,12,1.07
SAL10005,Abercrombie River,SAL10005,21,58,300,1024,1.8,10005,759178,2.39,2,25,7,2.05
SAL10006,Aberdare,SAL10006,2542,36,303,1251,2.5,10006,2192743,-0.87,2,18,6,0.72
SAL10007,Aberdeen (NSW),SAL10007,2051,41,280,1426,2.4,10007,610268,5.06,8,44,2,2.39
SAL10008,Aberfoyle,SAL10008,121,37,210,2250,2.9,10008,1232180,7.12,14,50,8,0.89
SAL10009,Aberglasslyn,SAL10009,6552,32,430,2147,3.0,10009,1603462,4.52,9,34,19,1.39
SAL10010,Abermain,SAL10010,2544,37,320,1449,2.7,10010,637337,5.74,10,30,11,2.61
SAL10011,Abernethy,SAL10011,317,37,360,2069,3.0,10011,1499890,1.58,13,48,11,1.25
SAL10012,Abington (NSW),SAL10012,29,42,0,2374,2.7,10012,2070006,-0.17,13,59,18,0.0
SAL10013,Acacia Creek,SAL10013,30,53,275,949,2.1,10013,1636074,4.43,1,22,8,0.87
SAL10014,Acacia Gardens,SAL10014,3668,36,540,2796,3.2,10014,2447735,1.28,14,59,2,1.15
SAL10015,Adaminaby,SAL10015,339,52,300,954,2.0,10015,1412756,6.6,2,34,13,1.1
SAL10016,Adamstown,SAL10016,6335,36,395,1875,2.4,10016,675203,-0.77,4,35,18,3.04
SAL10017,Adamstown Heights,SAL10017,5621,39,475,2325,2.8,10017,1739911,2.33,12,54,17,1.42
SAL10018,Adelong,SAL10018,938,49,205,1158,2.3,10018,778167,1.97,3,44,16,1.37
SAL10019,Adjungbilly,SAL10019,101,41,150,2312,2.8,10019,541090,7.38,1,50,18,1.44
SAL10020,Afterlee,SAL10020,32,64,0,762,1.8,10020,829365,-0.47,4,19,5,0.0
SAL10021,Agnes Banks,SAL10021,996,38,440,2454,3.1,10021,1613396,-1.9,11,35,5,1.42
SAL10022,Airds,SAL10022,3265,29,220,944,2.9,10022,1287201,0.38,13,52,4,0.89
SAL10023,Akolele,SAL10023,165,43,240,778,2.4,10023,1870455,6.2,11,37,9,0.67
SAL10024,Albert,SAL10024,77,50,0,1187,2.6,10024,2266891,0.09,2,33,10,0.0
SAL10025,Albion Park,SAL10025,13826,36,460,1938,2.9,10025,827069,0.41,10,24,3,2.89
SAL10026,Albion Park Rail,SAL10026,6920,41,390,1411,2.5,10026,2325573,-0.7,5,41,19,0.87
SAL10027,Albury,SAL10027,4955,45,270,1601,2.0,10027,1747617,5.15,1,49,17,0.8
SAL10028,Aldavilla,SAL10028,1443,36,350,1222,2.5,10028,1291743,-1.31,14,27,19,1.41
SAL10029,Alectown,SAL10029,151,49,160,1803,2.4,10029,603355,1.31,8,23,19,1.38
SAL10030,Alexandria,SAL10030,9649,34,560,2654,2.0,10030,1784372,0.82,10,31,13,1.63
SAL10031,Alfords Point,SAL10031,3131,43,768,2969,3.3,10031,1762752,3.55,2,45,3,2.27
SAL10032,Alfredtown,SAL10032,80,41,265,2624,3.1,10032,684779,5.3,11,56,2,2.01
SAL10033,Alice,SAL10033,4,59,0,1074,3.0,10033,1896025,3.33,3,58,17,0.0
SAL10034,Alison (Central Coast - NSW),SAL10034,85,47,600,2249,2.9,10034,1970485,7.31,3,59,18,1.58
SAL10035,Alison (Dungog - NSW),SAL10035,99,53,270,1375,2.1,10035,1489436,7.51,4,38,2,0.94
SAL10036,Allambie Heights,SAL10036,7317,43,600,2890,3.0,10036,1807371,1.61,7,56,4,1.73
SAL10037,Allandale (NSW),SAL10037,68,49,330,2124,2.3,10037,986232,5.78,13,33,17,1.74
SAL10038,Allawah,SAL10038,5351,36,428,1774,2.5,10038,1417040,5.39,9,44,15,1.57
SAL10039,Alleena,SAL10039,60,31,250,1875,3.2,10039,2048762,6.93,3,19,17,0.63
SAL10040,Allgomera,SAL10040,139,53,130,949,2.4,10040,656730,2.48,1,22,10,1.03
