SAL_ID,Suburb_Name,SAL_CODE_2021,Population,Median_Age,Median_Rent_Weekly,Median_Income_Weekly,HH_Size,Postcode,Median_House_Price,One_Year_Growth_Pct,School_Count,Commute_Time_Mins,Parks_Count,Rental_Yield_Pct,State
SAL10001,Aarons Pass,SAL10001,33,59,0,1625,2.4,2850,621958,6.06,5,35,14,0,NSW
SAL10002,Abbotsbury,SAL10002,4200,42,550,2621,3.3,2176,1171155,0.71,14,28,5,2.44,NSW
SAL10003,Abbotsford (NSW),SAL10003,5431,47,550,2263,2.3,2046,631932,2.72,10,28,17,4.53,NSW
SAL10004,Abercrombie,SAL10004,1127,39,393,2202,2.8,2795,1914414,5.11,8,56,12,1.07,NSW
SAL10005,Abercrombie River,SAL10005,21,58,300,1024,1.8,2795,759178,2.39,2,25,7,2.05,NSW
SAL10006,Aberdare,SAL10006,2542,36,303,1251,2.5,2325,2192743,-0.87,2,18,6,0.72,NSW
SAL10007,Aberdeen (NSW),SAL10007,2051,41,280,1426,2.4,2336,610268,5.06,8,44,2,2.39,NSW
SAL10008,Aberfoyle,SAL10008,121,37,210,2250,2.9,2350,1232180,7.12,14,50,8,0.89,NSW
SAL10009,Aberglasslyn,SAL10009,6552,32,430,2147,3,2320,1603462,4.52,9,34,19,1.39,NSW
SAL10010,Abermain,SAL10010,2544,37,320,1449,2.7,2326,637337,5.74,10,30,11,2.61,NSW
SAL10011,Abernethy,SAL10011,317,37,360,2069,3,2325,1499890,1.58,13,48,11,1.25,NSW
SAL10012,Abington (NSW),SAL10012,29,42,0,2374,2.7,2350,2070006,-0.17,13,59,18,0,NSW
SAL10013,Acacia Creek,SAL10013,30,53,275,949,2.1,2476,1636074,4.43,1,22,8,0.87,NSW
SAL10014,Acacia Gardens,SAL10014,3668,36,540,2796,3.2,2763,2447735,1.28,14,59,2,1.15,NSW
SAL10015,Adaminaby,SAL10015,339,52,300,954,2,2629,1412756,6.6,2,34,13,1.1,NSW
SAL10016,Adamstown,SAL10016,6335,36,395,1875,2.4,2289,675203,-0.77,4,35,18,3.04,NSW
SAL10017,Adamstown Heights,SAL10017,5621,39,475,2325,2.8,2289,1739911,2.33,12,54,17,1.42,NSW
SAL10018,Adelong,SAL10018,938,49,205,1158,2.3,2729,778167,1.97,3,44,16,1.37,NSW
SAL10019,Adjungbilly,SAL10019,101,41,150,2312,2.8,2727,541090,7.38,1,50,18,1.44,NSW
SAL10020,Afterlee,SAL10020,32,64,0,762,1.8,2474,829365,-0.47,4,19,5,0,NSW
SAL10021,Agnes Banks,SAL10021,996,38,440,2454,3.1,2753,1613396,-1.9,11,35,5,1.42,NSW
SAL10022,Airds,SAL10022,3265,29,220,944,2.9,2560,1287201,0.38,13,52,4,0.89,NSW
SAL10023,Akolele,SAL10023,165,43,240,778,2.4,2546,1870455,6.2,11,37,9,0.67,NSW
SAL10024,Albert,SAL10024,77,50,0,1187,2.6,2873,2266891,0.09,2,33,10,0,NSW
SAL10025,Albion Park,SAL10025,13826,36,460,1938,2.9,2527,827069,0.41,10,24,3,2.89,NSW
SAL10026,Albion Park Rail,SAL10026,6920,41,390,1411,2.5,2527,2325573,-0.7,5,41,19,0.87,NSW
SAL10027,Albury,SAL10027,4955,45,270,1601,2,2640,1747617,5.15,1,49,17,0.8,NSW
SAL10028,Aldavilla,SAL10028,1443,36,350,1222,2.5,2440,1291743,-1.31,14,27,19,1.41,NSW
SAL10029,Alectown,SAL10029,151,49,160,1803,2.4,2870,603355,1.31,8,23,19,1.38,NSW
SAL10030,Alexandria,SAL10030,9649,34,560,2654,2,2015,1784372,0.82,10,31,13,1.63,NSW
SAL10031,Alfords Point,SAL10031,3131,43,768,2969,3.3,2234,1762752,3.55,2,45,3,2.27,NSW
SAL10032,Alfredtown,SAL10032,80,41,265,2624,3.1,2650,684779,5.3,11,56,2,2.01,NSW
SAL10033,Alice,SAL10033,4,59,0,1074,3,2469,1896025,3.33,3,58,17,0,NSW
SAL10034,Alison (Central Coast - NSW),SAL10034,85,47,600,2249,2.9,2259,1970485,7.31,3,59,18,1.58,NSW
SAL10035,Alison (Dungog - NSW),SAL10035,99,53,270,1375,2.1,2420,1489436,7.51,4,38,2,0.94,NSW
SAL10036,Allambie Heights,SAL10036,7317,43,600,2890,3,2100,1807371,1.61,7,56,4,1.73,NSW
SAL10037,Allandale (NSW),SAL10037,68,49,330,2124,2.3,2320,986232,5.78,13,33,17,1.74,NSW
SAL10038,Allawah,SAL10038,5351,36,428,1774,2.5,2218,1417040,5.39,9,44,15,1.57,NSW
SAL10039,Alleena,SAL10039,60,31,250,1875,3.2,2671,2048762,6.93,3,19,17,0.63,NSW
SAL10040,Allgomera,SAL10040,139,53,130,949,2.4,2441,656730,2.48,1,22,10,1.03,NSW
SAL10041,Allworth,SAL10041,190,48,300,1213,2.2,2425,2419486,3.3,11,51,3,0.64,NSW
SAL10042,Allynbrook,SAL10042,54,64,587,1083,1.9,2311,1933257,2.16,10,50,14,1.58,NSW
SAL10043,Alma Park,SAL10043,58,50,185,1833,2.8,2659,1698079,6.5,1,39,6,0.57,NSW
SAL10044,Alpine,SAL10044,141,49,300,2291,2.8,2575,1154811,0.3,12,59,18,1.35,NSW
SAL10045,Alstonvale,SAL10045,431,53,310,2038,2.6,2477,1027035,0.4,11,19,7,1.57,NSW
SAL10046,Alstonville,SAL10046,5912,51,380,1312,2.3,2477,1148143,1.73,6,47,18,1.72,NSW
SAL10047,Alumy Creek,SAL10047,86,41,310,1281,2.6,2460,2000942,0.3,5,36,3,0.81,NSW
SAL10048,Amaroo (NSW),SAL10048,44,45,240,2166,2.7,2866,565725,3.61,10,56,8,2.21,NSW
SAL10049,Ambarvale,SAL10049,7254,34,350,1431,2.8,2560,1678557,-0.66,7,39,18,1.08,NSW
SAL10050,Amosfield,SAL10050,40,63,0,1249,1.9,4380,584654,1.2,7,57,9,0,QLD
SAL10051,Anabranch North,SAL10051,6,33,0,3250,1.7,2648,1453277,7.13,3,43,2,0,NSW
SAL10052,Anabranch South,SAL10052,41,46,0,1125,2.7,2648,2454354,2.09,7,59,6,0,NSW
SAL10053,Anambah,SAL10053,64,37,525,3049,3.4,2320,1091723,5.48,9,44,6,2.5,NSW
SAL10054,Ando,SAL10054,49,51,163,2250,2.8,2631,819030,-0.87,8,44,2,1.03,NSW
SAL10055,Anembo,SAL10055,72,48,129,2083,2.5,2621,1877523,0.48,3,58,11,0.36,NSW
SAL10056,Angledale,SAL10056,167,50,260,1474,2.5,2550,1055839,6.07,10,45,11,1.28,NSW
SAL10057,Angledool,SAL10057,34,56,50,825,1.6,2834,2451224,5.63,5,48,4,0.11,NSW
SAL10058,Anglers Reach,SAL10058,78,65,195,900,1.9,2629,773538,1.86,13,42,13,1.31,NSW
SAL10059,Angourie,SAL10059,192,58,520,1437,2.3,2464,831236,7.54,13,24,13,3.25,NSW
SAL10060,Angus,SAL10060,384,45,350,1890,3,2765,1028178,7.11,14,18,8,1.77,NSW
SAL10061,Anna Bay,SAL10061,4221,52,390,1189,2.3,2316,1065894,7.62,8,47,17,1.9,NSW
SAL10062,Annandale (NSW),SAL10062,9487,38,570,2683,2.3,2038,989492,2.28,2,31,4,3,NSW
SAL10063,Annangrove,SAL10063,1472,44,500,2650,3.5,2156,1805416,-0.03,14,25,8,1.44,NSW
SAL10064,Appin (NSW),SAL10064,3213,33,450,2423,3.2,2560,973254,4.27,14,21,15,2.4,NSW
SAL10065,Apple Tree Flat,SAL10065,46,49,480,1375,2.4,2850,849457,4.85,7,31,5,2.94,NSW
SAL10066,Appleby,SAL10066,35,41,345,1812,3.5,2340,1165987,-0.75,11,42,11,1.54,NSW
SAL10067,Appletree Flat,SAL10067,16,33,285,1375,2.6,2330,1819512,5.86,10,31,3,0.81,NSW
SAL10068,Apsley (NSW),SAL10068,116,47,300,1437,2.5,2820,1788507,-1.82,10,55,17,0.87,NSW
SAL10069,Arable,SAL10069,21,46,350,3125,2.4,2630,1788205,2.83,7,24,4,1.02,NSW
SAL10070,Arakoon,SAL10070,445,59,400,1321,2.2,2431,1753617,1.31,11,40,16,1.19,NSW
SAL10071,Araluen (NSW),SAL10071,209,53,225,1042,2.1,2622,1198361,5.4,12,20,9,0.98,NSW
SAL10072,Aratula (NSW),SAL10072,4,54,0,0,4,2714,2280488,1.13,14,31,17,0,NSW
SAL10073,Arcadia (NSW),SAL10073,1475,46,485,2659,3.2,2159,1965689,6.27,13,30,12,1.28,NSW
SAL10074,Arcadia Vale,SAL10074,1431,45,385,1550,2.5,2283,568148,3.95,8,53,12,3.52,NSW
SAL10075,Ardglen,SAL10075,50,58,100,1041,2.1,2338,2325665,5.94,1,40,12,0.22,NSW
SAL10076,Arding,SAL10076,182,53,210,1328,2.3,2358,1148531,7.89,8,18,2,0.95,NSW
SAL10077,Ardlethan,SAL10077,472,55,150,786,2,2665,1800571,4.79,14,34,3,0.43,NSW
SAL10078,Argalong,SAL10078,16,44,0,1999,2.7,2720,1406606,7.85,1,55,2,0,NSW
SAL10079,Argenton,SAL10079,1352,40,350,1318,2.3,2284,1178843,-1.71,3,25,11,1.54,NSW
SAL10080,Argents Hill,SAL10080,207,52,202,1042,2.3,2449,2459366,1.38,9,37,12,0.43,NSW
SAL10081,Argoon,SAL10081,16,45,0,2750,3.5,2707,1072843,-0.92,4,47,13,0,NSW
SAL10082,Ariah Park,SAL10082,439,51,160,1010,2.3,2665,756508,0.62,10,45,11,1.1,NSW
SAL10083,Arkell,SAL10083,36,47,250,1593,2.9,2795,1303591,6.39,13,21,8,1,NSW
SAL10084,Arkstone,SAL10084,24,41,0,1625,3.5,2795,1396942,-1.68,9,36,9,0,NSW
SAL10085,Armatree,SAL10085,164,43,100,1333,2.5,2828,606530,3.2,1,19,12,0.86,NSW
SAL10086,Armidale,SAL10086,23967,36,290,1432,2.3,2350,1104365,3.67,8,51,19,1.37,NSW
SAL10087,Arncliffe,SAL10087,12023,34,500,2046,2.7,2205,2370928,3.61,3,15,17,1.1,NSW
SAL10088,Arndell Park,SAL10088,6,45,530,1375,1.3,2148,960337,2.75,11,20,2,2.87,NSW
SAL10089,Arrawarra,SAL10089,591,66,200,718,1.9,2456,2273415,5.91,7,59,7,0.46,NSW
SAL10090,Arrawarra Headland,SAL10090,615,47,373,1605,2.7,2456,1305889,-0.66,2,18,18,1.49,NSW
SAL10091,Artarmon,SAL10091,9417,37,525,2420,2.5,2064,2008349,1.11,13,44,14,1.36,NSW
SAL10092,Arthurville,SAL10092,47,46,0,2166,2.8,2820,708261,4.16,7,44,11,0,NSW
SAL10093,Arumpo,SAL10093,40,35,25,1843,2.8,2715,2313045,4.91,7,31,11,0.06,NSW
SAL10094,Ashbury,SAL10094,3353,44,600,2571,2.9,2193,1889673,2.04,9,38,2,1.65,NSW
SAL10095,Ashby (NSW),SAL10095,316,61,350,1113,2,2463,1863715,6.75,2,45,8,0.98,NSW
SAL10096,Ashby Heights,SAL10096,292,55,310,1233,2.4,2463,1720405,2.15,8,42,10,0.94,NSW
SAL10097,Ashby Island,SAL10097,18,57,0,1024,2.3,2463,771836,2.03,5,59,12,0,NSW
SAL10098,Ashcroft,SAL10098,3634,32,295,1089,3.1,2168,1987550,-1.64,10,57,3,0.77,NSW
SAL10099,Ashfield (NSW),SAL10099,23012,36,440,1888,2.3,2131,1489913,3.51,9,18,2,1.54,NSW
SAL10100,Ashford (NSW),SAL10100,659,54,185,855,2.2,2361,702283,5.09,8,53,13,1.37,NSW
SAL10101,Ashley,SAL10101,351,34,280,1899,2.7,2400,696769,-0.86,3,33,8,2.09,NSW
SAL10102,Ashmont,SAL10102,3747,36,220,994,2.3,2650,1061353,1.05,3,38,6,1.08,NSW
SAL10103,Ashtonfield,SAL10103,4589,39,440,2148,2.8,2323,1771741,5.81,11,21,13,1.29,NSW
SAL10104,Asquith,SAL10104,6160,36,490,2300,2.7,2077,2172163,1.66,12,23,15,1.17,NSW
SAL10105,Atholwood,SAL10105,68,50,84,1406,2.6,2361,1546797,0.42,10,36,8,0.28,NSW
SAL10106,Attunga,SAL10106,542,43,300,1428,2.5,2345,1450110,4.72,8,16,9,1.08,NSW
