rowid,suburb_name,state,postcode,previous_ssc,new_ssc,candidate_ssc,score
31684,AILSA,NSW,,,13146,13146,82
45347,AILSA,NSW,,,13146,13146,82
31060,AINTREE,NSW,,,11818,11818,82
44723,AINTREE,NSW,,,11818,11818,82
30352,AIRE VALLEY,NSW,,,12106,12106,84
44015,AIRE VALLEY,NSW,,,12106,12106,84
30319,AIREYS INLET,NSW,,,20015,20015,81
43982,AIREYS INLET,NSW,,,20015,20015,81
29401,AIRPORT WEST,NSW,,,20017,20017,81
43064,AIRPORT WEST,NSW,,,20017,20017,81
30156,ALBERT PARK,NSW,,,10402,10402,83
43819,ALBERT PARK,NSW,,,10402,10402,83
30647,ALLANSFORD,NSW,,,10497,10497,81
44310,ALLANSFORD,NSW,,,10497,10497,81
29306,ALTONA EAST,NSW,,,11630,11630,84
42969,ALTONA EAST,NSW,,,11630,11630,84
29308,ALTONA GATE,NSW,,,20039,20039,80
42971,ALTONA GATE,NSW,,,20039,20039,80
29322,ALTONA MEADOWS,NSW,,,20040,20040,83
42985,ALTONA MEADOWS,NSW,,,20040,20040,83
31511,AMPHITHEATRE,NSW,,,20046,20046,81
45174,AMPHITHEATRE,NSW,,,20046,20046,81
30171,ANAKIE,NSW,,,10971,10971,80
43834,ANAKIE,NSW,,,10971,10971,80
31686,ANGIP,NSW,,,10971,10971,84
45349,ANGIP,NSW,,,10971,10971,84
30317,ANGLESEA,NSW,,,10218,10218,83
43980,ANGLESEA,NSW,,,10218,10218,83
31515,ARARAT EAST,NSW,,,20063,20063,80
45178,ARARAT EAST,NSW,,,20063,20063,80
29278,ARDEER,NSW,,,10007,10007,82
42941,ARDEER,NSW,,,10007,10007,82
31517,ARMSTRONG,NSW,,,10099,10099,80
45180,ARMSTRONG,NSW,,,10099,10099,80
30215,ARMSTRONG CREEK,NSW,,,30106,30106,84
43878,ARMSTRONG CREEK,NSW,,,30106,30106,84
29349,ASCOT VALE,NSW,,,11202,11202,81
43012,ASCOT VALE,NSW,,,11202,11202,81
29872,ASHBURTON,NSW,,,10113,10113,83
43535,ASHBURTON,NSW,,,10113,10113,83
30094,ASPENDALE,NSW,,,10151,10151,80
43757,ASPENDALE,NSW,,,10151,10151,80
31688,AUBREY,NSW,,,10031,10031,80
45351,AUBREY,NSW,,,10031,10031,80
30582,AYRFORD,NSW,,,10120,10120,82
44245,AYRFORD,NSW,,,10120,10120,82
31089,BACCHUS MARSH,NSW,,,20110,20110,82
44752,BACCHUS MARSH,NSW,,,20110,20110,82
30874,BAHGALLAH,NSW,,,10368,10368,80
44537,BAHGALLAH,NSW,,,10368,10368,80
31142,BAKERY HILL,NSW,,,10474,10474,83
44805,BAKERY HILL,NSW,,,10474,10474,83
30663,BALLANGEICH,NSW,,,20126,20126,80
44326,BALLANGEICH,NSW,,,20126,20126,80
31357,BALLARAT MC,NSW,,,20132,20132,80
45020,BALLARAT MC,NSW,,,20132,20132,80
31150,BALLARAT NORTH,NSW,,,20133,20133,83
44813,BALLARAT NORTH,NSW,,,20133,20133,83
29650,BALWYN,NSW,,,10186,10186,82
43313,BALWYN,NSW,,,10186,10186,82
29652,BALWYN EAST,NSW,,,10208,10208,84
43315,BALWYN EAST,NSW,,,10208,10208,84
29660,BALWYN NORTH,NSW,,,13606,13606,84
43323,BALWYN NORTH,NSW,,,13606,13606,84
31038,BAMGANIE,NSW,,,10196,10196,80
44701,BAMGANIE,NSW,,,10196,10196,80
30000,BANGHOLME,NSW,,,10221,10221,82
43663,BANGHOLME,NSW,,,10221,10221,82
31022,BANNOCKBURN,NSW,,,30185,30185,80
44685,BANNOCKBURN,NSW,,,30185,30185,80
31668,BANYENA,NSW,,,10232,10232,82
45331,BANYENA,NSW,,,10232,10232,82
29587,BANYULE,NSW,,,10796,10796,80
43250,BANYULE,NSW,,,10796,10796,80
31592,BARKLY,NSW,,,10025,10025,84
45255,BARKLY,NSW,,,10025,10025,84
31241,BARKSTEAD,NSW,,,10099,10099,80
44904,BARKSTEAD,NSW,,,10099,10099,80
30410,BARWON DOWNS,NSW,,,20195,20195,81
44073,BARWON DOWNS,NSW,,,20195,20195,81
30303,BARWON HEADS,NSW,,,10729,10729,84
43966,BARWON HEADS,NSW,,,10729,10729,84
30173,BATESFORD,NSW,,,10120,10120,83
43836,BATESFORD,NSW,,,10120,10120,83
31505,BAYINDEEN,NSW,,,10826,10826,80
45168,BAYINDEEN,NSW,,,10826,10826,80
29909,BAYSWATER NORTH,NSW,,,20211,20211,84
43572,BAYSWATER NORTH,NSW,,,20211,20211,84
30476,BEEAC,NSW,,,10691,10691,84
44139,BEEAC,NSW,,,10691,10691,84
30354,BEECH FOREST,NSW,,,10166,10166,84
44017,BEECH FOREST,NSW,,,10166,10166,84
29815,BEENAK,NSW,,,10826,10826,82
