ssc,suburb_name,state
70371,WAGAIT BEACH,NT
70309,RAPID CREEK,NT
70351,TIWI,NT
70373,WAGAMAN,NT
70377,WANGURI,NT
70318,SANDERSON,NT
70396,WOODLEIGH GARDENS,NT
70400,WULAGI,NT
70319,SANDERSON,NT
70305,RAAF BASE DARWIN,NT
70328,STUART PARK,NT
70341,THE GARDENS,NT
70342,THE NARROWS,NT
70389,WINNELLIE,NT
70399,WOOLNER,NT
70390,WINNELLIE,NT
70304,PULUMPA,NT
70306,RAKULA,NT
70307,RAMINGINING,NT
70311,ROBIN FALLS,NT
70316,RUM JUNGLE,NT
70321,SANDPALMS ROADHOUSE,NT
70325,SOUTHPORT,NT
70326,STAPLETON,NT
70338,THAMARRURR,NT
70348,TIPPERARY,NT
70350,TIVENDALE,NT
70352,TIWI ISLANDS,NT
70354,TORTILLA FLATS,NT
70355,TUMBLING WATERS,NT
70357,UMBAKUMBA,NT
70364,VERNON ISLANDS,NT
70367,VIRGINIA,NT
70370,WADEYE,NT
70372,WAGAIT BEACH,NT
70374,WAK WAK,NT
70379,WARRUWI,NT
70382,WEDDELL,NT
70383,WEST ARNHEM,NT
70385,WICKHAM,NT
70391,WINNELLIE,NT
70394,WISHART,NT
70398,WOOLANING,NT
70401,WURRUMIYANGA,NT
70323,SHOAL BAY,NT
70397,WOODROFFE,NT
70405,YARRAWONGA,NT
70313,ROSEBERY,NT
70314,ROSEBERY HEIGHTS,NT
70410,ZUCCOLI,NT
70368,VIRGINIA,NT
70369,VIRGINIA,NT
70312,ROBINSON RIVER,NT
70329,STURT PLATEAU,NT
70332,TANAMI EAST,NT
70345,TIMBER CREEK,NT
70353,TOP SPRINGS,NT
70361,URALLA,NT
70363,VENN,NT
70365,VICTORIA RIVER,NT
70366,VICTORIA RIVER DOWNS,NT
70380,WARUMUNGU,NT
70381,WAVE HILL,NT
70388,WILTON,NT
70404,YARRALIN,NT
70346,TINDAL,NT
70347,TINDAL RAAF,NT
70335,TENNANT CREEK,NT
70336,TENNANT CREEK,NT
70310,RENNER SPRINGS,NT
70330,TABLELANDS,NT
70337,TENNANT CREEK,NT
70343,THREE WAYS,NT
70378,WARREGO,NT
70395,WOLLOGORANG STATION,NT
70403,WYCLIFFE WELL,NT
70317,SADADEEN,NT
70327,STUART,NT
70340,THE GAP,NT
70384,WHITE GUMS,NT
70320,SANDOVER,NT
70322,SANTA TERESA,NT
70324,SIMPSON,NT
70331,TANAMI,NT
70333,TARA,NT
70334,TELEGRAPH STATION,NT
70339,THANGKENHARENGE,NT
70344,TI TREE,NT
41784,TIEYON,SA
70349,TITJIKALA,NT
70356,ULURU,NT
70358,UMPANGARA,NT
41826,UMUWA,SA
70362,URAPUNTJA,NT
70375,WALLACE ROCKHOLE,NT
70376,WANARN,NT
51752,WARAKURNA,WA
41901,WATARRU,SA
41907,WATINUMA,SA
70386,WILLOWRA,NT
70387,WILORA,NT
51856,WINGELLINA,WA
70402,WUTUNUGURRA,NT
70407,YUELAMU,NT
70408,YUENDUMU,NT
70409,YULARA,NT
42092,YUNYARINYI,SA
70315,ROSS,NT
70359,UNDOOLYA,NT
70406,YIRRKALA,NT
70392,WINNELLIE,NT
70393,WINNELLIE,NT
70360,UNIVERSITY,NT
14543,SYDNEY,NSW
14544,SYDNEY,NSW
14545,SYDNEY,NSW
14546,SYDNEY,NSW
14547,SYDNEY,NSW
14548,SYDNEY,NSW
14549,SYDNEY,NSW
14550,SYDNEY,NSW
14551,SYDNEY,NSW
14552,SYDNEY,NSW
14553,SYDNEY,NSW
14554,SYDNEY,NSW
14555,SYDNEY,NSW
14556,SYDNEY,NSW
14557,SYDNEY,NSW
14558,SYDNEY,NSW
14559,SYDNEY,NSW
14560,SYDNEY,NSW
14561,SYDNEY,NSW
14562,SYDNEY,NSW
14563,SYDNEY,NSW
14564,SYDNEY,NSW
14565,SYDNEY,NSW
14566,SYDNEY,NSW
14567,SYDNEY,NSW
14568,SYDNEY,NSW
14569,SYDNEY,NSW
14570,SYDNEY,NSW
14571,SYDNEY,NSW
14572,SYDNEY,NSW
14573,SYDNEY,NSW
14574,SYDNEY,NSW
14575,SYDNEY,NSW
14576,SYDNEY,NSW
14577,SYDNEY,NSW
14578,SYDNEY,NSW
14579,SYDNEY,NSW
14580,SYDNEY,NSW
14581,SYDNEY,NSW
14582,SYDNEY,NSW
14583,SYDNEY,NSW
14584,SYDNEY,NSW
14585,SYDNEY,NSW
14586,SYDNEY,NSW
14587,SYDNEY,NSW
14588,SYDNEY,NSW
14589,SYDNEY,NSW
14590,SYDNEY,NSW
14591,SYDNEY,NSW
14592,SYDNEY,NSW
14593,SYDNEY,NSW
14594,SYDNEY,NSW
14595,SYDNEY,NSW
14596,SYDNEY,NSW
14597,SYDNEY,NSW
14598,SYDNEY,NSW
14599,SYDNEY,NSW
14600,SYDNEY,NSW
14601,SYDNEY,NSW
14602,SYDNEY,NSW
14603,SYDNEY,NSW
14604,SYDNEY,NSW
14605,SYDNEY,NSW
14606,SYDNEY,NSW
14607,SYDNEY,NSW
14608,SYDNEY,NSW
14609,SYDNEY,NSW
14610,SYDNEY,NSW
14611,SYDNEY,NSW
14612,SYDNEY,NSW
14613,SYDNEY,NSW
14614,SYDNEY,NSW
14615,SYDNEY,NSW
