SSC_CODE_2021,Population,Median_Age,Median_Income,Employment_Rate,Household_Size
13610,37890,35,1298,72.1,2.4
13804,28450,37,1385,68.3,2.8
10570,15150,35,1635,71.5,2.2
10635,202044,34,1500,72.8,2.4
10654,12530,35,1962,73.0,2.58
10655,18900,36,1450,70.5,2.3
10656,25670,34,1520,74.2,2.5
10657,31250,38,1385,69.1,2.9
10658,19800,35,1625,72.0,2.4
10659,22400,36,1445,71.3,2.6
10660,29100,34,1675,73.5,2.3
10661,16750,37,1395,68.8,2.7
10662,33600,35,1550,72.4,2.5
10663,24300,36,1485,70.9,2.4
10664,19950,34,1710,74.1,2.2
10665,28800,38,1365,67.5,3.0
10666,22150,35,1620,72.8,2.3
10667,31900,36,1475,71.2,2.6
10668,18400,37,1405,69.5,2.8
10669,25600,34,1685,73.2,2.3
10670,29300,35,1535,70.8,2.5
10671,20100,36,1595,72.1,2.4
10672,32400,37,1420,68.9,2.7
10673,23700,34,1745,74.5,2.1
10674,27950,38,1340,67.2,3.1
10675,21300,35,1665,73.0,2.3
10676,30200,36,1505,71.5,2.5
10677,19500,37,1415,69.2,2.7
10678,26150,34,1705,73.8,2.2
10679,28600,35,1575,70.6,2.4
10680,22800,36,1465,72.3,2.5
10681,33900,37,1380,68.4,2.8
10682,20400,34,1755,74.3,2.1
10683,25100,38,1320,66.8,3.2
10684,30700,35,1645,73.1,2.3
10685,19200,36,1545,71.8,2.4
10686,27600,37,1430,69.7,2.6
10687,23200,34,1725,73.9,2.2
10688,32100,35,1500,70.9,2.5
10689,21600,36,1635,72.6,2.3
10690,29400,37,1390,68.5,2.8
10691,18900,34,1780,74.7,2.0
10692,26800,38,1300,66.3,3.3
10693,30900,35,1620,72.8,2.4
10694,22300,36,1520,71.4,2.5
10695,25500,37,1410,69.1,2.7
10696,28200,34,1770,74.2,2.1
10697,20700,35,1540,71.9,2.4
10698,32600,36,1445,70.2,2.6
10699,24100,37,1685,73.5,2.2
10700,27300,34,1380,68.9,2.8
