Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
0800,5430,5430,73761,62290,0.9,4914,73453,65348,0.14,784,531,318,5430,76809,65246,5430,2982,1167,0.08,452,57608,17878,0.08,426,38294,8321,0.84,4583,19221,12297,6063,110815,24788
0810,22405,22405,75210,64580,0.88,19685,75474,68388,0.18,3968,1528,736,22405,78100,67030,22405,2856,1125,0.11,2396,73036,23312,0.1,2253,47210,10307,0.82,18474,20261,14031,24757,140623,49520
0812,11116,11116,69663,62488,0.87,9696,71590,66964,0.16,1802,785,134,11116,72005,64821,11116,2323,940,0.08,850,74433,26369,0.07,822,51214,11475,0.81,9057,17730,13510,12700,148748,63277
0820,13865,13865,86116,69758,0.88,12247,80159,71736,0.2,2767,2538,1023,13865,89300,72742,13865,3089,1210,0.1,1354,77366,19407,0.09,1277,52431,8902,0.86,11885,24424,15135,15471,171019,52818
0822,7214,7214,52855,39596,0.87,6260,50815,38966,0.09,644,1279,867,7214,54654,40605,7214,1466,180,0.05,389,107427,40546,0.05,376,84723,20062,0.67,4845,13754,7882,9765,61763,9385
0828,1052,1052,85915,66476,0.87,910,75469,68867,0.16,169,4883,1836,1052,89095,70616,1052,3136,1266,0.09,99,117701,29092,0.09,91,98201,14391,0.85,891,25122,14460,1163,112007,47569
0829,517,517,71286,71029,0.97,503,71086,73435,0.07,37,2853,1729,517,74283,73886,517,2913,2361,0.03,14,95884,21448,0.03,15,62752,13646,0.94,487,14120,12324,551,63740,25423
0830,11440,11440,71173,64404,0.9,10290,72580,68236,0.14,1552,-945,-699,11440,73714,67030,11440,2503,1082,0.07,745,75837,31099,0.06,718,53698,16185,0.83,9458,18003,13815,12667,117400,55112
0832,12245,12245,76316,70906,0.94,11456,77654,73907,0.13,1565,-923,-713,12245,79138,73700,12245,2811,1449,0.07,871,61778,24787,0.07,845,40326,13313,0.87,10603,18996,14837,12945,107564,55560
0834,827,827,78977,70072,0.87,716,78323,71650,0.23,187,1623,1454,827,81792,73108,827,2758,1042,0.08,66,90288,38336,0.08,66,59511,22830,0.86,709,20710,15648,906,148863,85542
0835,2770,2770,77902,67836,0.84,2323,78938,73290,0.23,631,491,232,2770,81205,71120,2770,3155,1082,0.11,296,97468,48282,0.1,289,65792,19844,0.82,2281,21428,15942,3144,182345,99184
0836,5252,5252,78068,68618,0.86,4529,79470,73769,0.19,985,345,-29,5252,81075,71410,5252,2820,1072,0.09,479,104378,53707,0.09,473,72755,22517,0.84,4426,20784,15436,5907,154363,89733
0837,443,443,68391,55870,0.72,321,72240,62373,0.17,74,2902,747,443,71114,59022,443,2319,758,0.13,57,69763,33019,0.13,57,44019,16277,0.75,333,19456,13145,509,134710,71960
0838,577,577,73350,64427,0.85,491,77895,70525,0.18,101,362,-639,577,76304,67572,577,2907,1146,0.11,64,110061,41631,0.11,64,90925,26966,0.81,466,19373,15495,633,148132,81122
0839,571,571,74980,67551,0.89,509,76593,71009,0.16,91,1136,-3,571,77755,69860,571,2690,1241,0.11,60,66229,33368,0.1,57,41009,16896,0.87,498,18261,13557,578,127615,57909
0840,208,208,52820,42268,0.62,130,66506,53456,0.17,35,981,2547,208,55256,44111,208,1994,403,0.19,39,95782,18827,0.18,37,88347,11075,0.65,135,15170,9573,247,174409,89719
0841,386,386,70930,61126,0.84,324,71928,64440,0.17,65,2079,612,386,73733,63242,386,2324,710,0.1,40,90544,57739,0.1,40,59929,19353,0.79,306,19441,13168,476,122993,61336
0845,310,310,61148,48539,0.8,249,60767,57114,0.11,33,3702,1969,310,63947,49476,310,2548,592,0.1,31,53737,25832,0.09,29,48842,24393,0.71,221,17398,10632,368,103341,55255
0846,204,204,67316,49886,0.75,152,64649,54474,0.2,41,-180,730,204,71972,53701,204,2611,442,0.08,17,45512,29601,0.08,16,44434,45047,0.72,147,20649,10118,235,106489,54450
0847,161,161,50504,38130,0.83,133,51447,43728,0.14,22,6681,3668,161,51962,40010,161,1272,246,0.04,7,17696,4694,0.03,5,14764,5014,0.68,109,12630,7132,209,66582,15577
