rowid,suburb_name,state,postcode,ssc,candidate_ssc1,candidate_ssc2,candidate_ssc3,score1,score2,score3,matched_canonical_key1,matched_canonical_key2,matched_canonical_key3
29216,SOUTHBANK,NSW,,,14334,14215,14336,79,77,77,SOUTHAMPTON|NSW,SCOTCHMAN|NSW,SOUTHGATE|NSW
29222,FOOTSCRAY,NSW,,,21112,23325,10611,77,71,70,FOOTSCRAY|VIC,WEST FOOTSCRAY|VIC,BOORAL|NSW
29226,SEDDON WEST,NSW,,,15275,22717,14285,75,73,71,WEST WALLSEND|NSW,SEDDON WEST|VIC,SMITHFIELD WEST|NSW
29280,DEER PARK EAST,NSW,,,20876,11482,10407,78,77,74,DEER PARK EAST|VIC,DEAN PARK|NSW,BEVERLEY PARK|NSW
29298,MAMBOURIN,NSW,,,10129,13488,21895,78,77,77,AUBURN|NSW,NAREMBURN|NSW,MAMBOURIN|VIC
29312,DERRIMUT,NSW,,,10396,20894,11509,78,75,73,BERRIMA|NSW,DERRIMUT|VIC,DEWITT|NSW
29316,LAVERTON RAAF,NSW,,,50951,21770,12755,79,76,71,LAVERTON|WA,LAVERTON RAAF|VIC,LAVERSTOCK|NSW
29332,TRUGANINA,NSW,,,14692,14675,14895,78,75,75,TARANA|NSW,TAMINDA|NSW,TRANGIE|NSW
29344,WERRIBEE SOUTH,NSW,,,14698,23320,14330,79,78,71,TAREE SOUTH|NSW,WERRIBEE SOUTH|VIC,SOUTH WENTWORTHVILLE|NSW
29355,TRAVANCORE,NSW,,,14394,14742,14893,77,74,72,STANMORE|NSW,TERRANORA|NSW,TRAJERE|NSW
29367,DELAHEY,NSW,,,11492,10121,10132,78,76,76,DELEGATE|NSW,ASHLEY|NSW,AUDLEY|NSW
29383,MOONEE PONDS,NSW,,,13256,13248,22095,77,75,75,MOONEE|NSW,MOONA PLAINS|NSW,MOONEE PONDS|VIC
29405,NIDDRIE,NSW,,,11613,12381,10833,74,74,73,DURI|NSW,INDI|NSW,BUNDURE|NSW
29415,PASCOE VALE,NSW,,,13751,13781,14792,76,74,74,OXLEY VALE|NSW,PALMVALE|NSW,THE VALE|NSW
