rowid,suburb_name,state,postcode,ssc,candidate_ssc1,candidate_ssc2,candidate_ssc3,score1,score2,score3,matched_canonical_key1,matched_canonical_key2,matched_canonical_key3,auto_apply
29405,NIDDRIE,NSW,,,11613,12381,10833,74,74,73,DURI|NSW,INDI|NSW,BUNDURE|NSW,False
29545,RESERVOIR,NSW,,,51487,22593,13931,72,71,70,RESERVOIR|WA,RESERVOIR EAST|VIC,PREMER|NSW,False
29774,NUNAWADING,NSW,,,15127,13668,13942,74,72,72,WANAARING|NSW,NUNDERI|NSW,PUCAWAN|NSW,False
29809,KILSYTH,NSW,,,12551,21626,10025,74,73,70,KIAH|NSW,KILSYTH|VIC,AIRLY|NSW,False
30010,SCORESBY BC,NSW,,,14297,22701,14046,74,73,69,SOMERSBY|NSW,SCORESBY BC|VIC,REVESBY|NSW,False
30045,RIPPONLEA,NSW,,,14836,15044,14062,73,73,72,TIONA|NSW,URILA|NSW,RIVERLEA|NSW,False
30071,HIGHETT,NSW,,,10509,21417,11106,73,73,72,BLIGHTY|NSW,HIGHETT|VIC,CHICHESTER|NSW,False
30313,JAN JUC,NSW,,,21507,10072,12456,73,70,67,JAN JUC|VIC,ANGUS|NSW,JOADJA|NSW,False
30331,CAPE OTWAY,NSW,,,20567,13900,10951,71,69,67,CAPE OTWAY|VIC,POINT CLARE|NSW,CAMDEN SOUTH|NSW,False
30346,PENNYROYAL,NSW,,,13846,13908,13959,72,72,72,PENROSE|NSW,POMEROY|NSW,PYRAMUL|NSW,False
30499,GNOTUK,NSW,,,12023,12007,12066,74,73,73,GOCUP|NSW,GLENROCK|NSW,GOSTWYCK|NSW,False
30529,DIXIE,NSW,,,10453,13158,11506,74,74,71,BINGIE|NSW,MILLIE|NSW,DEUA|NSW,False
30661,PURNIM WEST,NSW,,,15271,22552,13744,73,73,72,WEST PYMBLE|NSW,PURNIM WEST|VIC,OURNIE|NSW,False
30738,GAZETTE,NSW,,,11742,12089,12314,73,73,73,ETTREMA|NSW,GRATTAI|NSW,HOLGATE|NSW,False
30899,POOLAIJELO,NSW,,,13912,14861,15449,74,74,74,POONCARIE|NSW,TOOLIJOOA|NSW,WOOLGARLO|NSW,False
30997,FOXHOW,NSW,,,11313,11866,12345,70,70,70,COROWA|NSW,FOXGROUND|NSW,HOWELL|NSW,False
31064,FRASER RISE,NSW,,,11867,14049,21130,73,73,73,FRAZER PARK|NSW,RHINE FALLS|NSW,FRASER RISE|VIC,False
31184,BO PEEP,NSW,,,13829,13960,10356,74,70,67,PEEL|NSW,PYREE|NSW,BEN VENUE|NSW,False
31223,SMYTHESDALE,NSW,,,14107,14792,15283,74,74,74,ROSEDALE|NSW,THE VALE|NSW,WESTDALE|NSW,False
31438,SMOKEY TOWN,NSW,,,14298,14410,22770,74,74,73,SOMERTON|NSW,STOCKTON|NSW,SMOKEY TOWN|VIC,False
31670,RUPANYUP,NSW,,,13790,13814,13987,70,70,70,PANUARA|NSW,PAUPONG|NSW,RABY|NSW,False
31710,REEDY DAM,NSW,,,14015,14697,14029,72,72,71,RED HEAD|NSW,TAREE DC|NSW,REEDY CREEK|NSW,False
43068,NIDDRIE,NSW,,,11613,12381,10833,74,74,73,DURI|NSW,INDI|NSW,BUNDURE|NSW,False
43208,RESERVOIR,NSW,,,51487,22593,13931,72,71,70,RESERVOIR|WA,RESERVOIR EAST|VIC,PREMER|NSW,False
43437,NUNAWADING,NSW,,,15127,13668,13942,74,72,72,WANAARING|NSW,NUNDERI|NSW,PUCAWAN|NSW,False
43472,KILSYTH,NSW,,,12551,21626,10025,74,73,70,KIAH|NSW,KILSYTH|VIC,AIRLY|NSW,False
43673,SCORESBY BC,NSW,,,14297,22701,14046,74,73,69,SOMERSBY|NSW,SCORESBY BC|VIC,REVESBY|NSW,False
43708,RIPPONLEA,NSW,,,14836,15044,14062,73,73,72,TIONA|NSW,URILA|NSW,RIVERLEA|NSW,False
43734,HIGHETT,NSW,,,10509,21417,11106,73,73,72,BLIGHTY|NSW,HIGHETT|VIC,CHICHESTER|NSW,False
43976,JAN JUC,NSW,,,21507,10072,12456,73,70,67,JAN JUC|VIC,ANGUS|NSW,JOADJA|NSW,False
43994,CAPE OTWAY,NSW,,,20567,13900,10951,71,69,67,CAPE OTWAY|VIC,POINT CLARE|NSW,CAMDEN SOUTH|NSW,False
44009,PENNYROYAL,NSW,,,13846,13908,13959,72,72,72,PENROSE|NSW,POMEROY|NSW,PYRAMUL|NSW,False
44162,GNOTUK,NSW,,,12023,12007,12066,74,73,73,GOCUP|NSW,GLENROCK|NSW,GOSTWYCK|NSW,False
44192,DIXIE,NSW,,,10453,13158,11506,74,74,71,BINGIE|NSW,MILLIE|NSW,DEUA|NSW,False
44324,PURNIM WEST,NSW,,,15271,22552,13744,73,73,72,WEST PYMBLE|NSW,PURNIM WEST|VIC,OURNIE|NSW,False
44401,GAZETTE,NSW,,,11742,12089,12314,73,73,73,ETTREMA|NSW,GRATTAI|NSW,HOLGATE|NSW,False
44562,POOLAIJELO,NSW,,,13912,14861,15449,74,74,74,POONCARIE|NSW,TOOLIJOOA|NSW,WOOLGARLO|NSW,False
44660,FOXHOW,NSW,,,11313,11866,12345,70,70,70,COROWA|NSW,FOXGROUND|NSW,HOWELL|NSW,False
44727,FRASER RISE,NSW,,,11867,14049,21130,73,73,73,FRAZER PARK|NSW,RHINE FALLS|NSW,FRASER RISE|VIC,False
44847,BO PEEP,NSW,,,13829,13960,10356,74,70,67,PEEL|NSW,PYREE|NSW,BEN VENUE|NSW,False
44886,SMYTHESDALE,NSW,,,14107,14792,15283,74,74,74,ROSEDALE|NSW,THE VALE|NSW,WESTDALE|NSW,False
45101,SMOKEY TOWN,NSW,,,14298,14410,22770,74,74,73,SOMERTON|NSW,STOCKTON|NSW,SMOKEY TOWN|VIC,False
