rowid,suburb_name,state,postcode,candidate_ssc,score,norm_key,matched_canonical_key
29202,MELBOURNE,NSW,,12881,82,MELBOURNE|NSW,LORNE|NSW
29202,MELBOURNE,NSW,,10646,78,MELBOURNE|NSW,BOURKE|NSW
29202,MELBOURNE,NSW,,12918,78,MELBOURNE|NSW,LURNEA|NSW
29204,EAST MELBOURNE,NSW,,20992,83,EAST MELBOURNE|NSW,EAST MELBOURNE|VIC
29204,EAST MELBOURNE,NSW,,13281,81,EAST MELBOURNE|NSW,MOREE EAST|NSW
29204,EAST MELBOURNE,NSW,,11644,76,EAST MELBOURNE|NSW,EAST LISMORE|NSW
29206,WEST MELBOURNE,NSW,,23326,83,WEST MELBOURNE|NSW,WEST MELBOURNE|VIC
29206,WEST MELBOURNE,NSW,,15258,79,WEST MELBOURNE|NSW,WEST ALBURY|NSW
29206,WEST MELBOURNE,NSW,,10350,76,WEST MELBOURNE|NSW,BELROSE WEST|NSW
29208,ST KILDA ROAD CENTRAL,NSW,,22834,84,ST KILDA ROAD CENTRAL|NSW,ST KILDA ROAD CENTRAL|VIC
29208,ST KILDA ROAD CENTRAL,NSW,,11622,64,ST KILDA ROAD CENTRAL|NSW,DYRAABA CENTRAL|NSW
29208,ST KILDA ROAD CENTRAL,NSW,,11071,63,ST KILDA ROAD CENTRAL|NSW,CENTRAL COLO|NSW
29212,WORLD TRADE CENTRE,NSW,,23451,82,WORLD TRADE CENTRE|NSW,WORLD TRADE CENTRE|VIC
29212,WORLD TRADE CENTRE,NSW,,15471,67,WORLD TRADE CENTRE|NSW,WORLDS END|NSW
29212,WORLD TRADE CENTRE,NSW,,14761,63,WORLD TRADE CENTRE|NSW,THE ENTRANCE|NSW
29214,SOUTH WHARF,NSW,,14698,80,SOUTH WHARF|NSW,TAREE SOUTH|NSW
29214,SOUTH WHARF,NSW,,14332,75,SOUTH WHARF|NSW,SOUTH WINDSOR|NSW
29214,SOUTH WHARF,NSW,,14333,75,SOUTH WHARF|NSW,SOUTH WOLUMLA|NSW
29216,SOUTHBANK,NSW,,14334,79,SOUTHBANK|NSW,SOUTHAMPTON|NSW
29216,SOUTHBANK,NSW,,14215,77,SOUTHBANK|NSW,SCOTCHMAN|NSW
29216,SOUTHBANK,NSW,,14336,77,SOUTHBANK|NSW,SOUTHGATE|NSW
29218,DOCKLANDS,NSW,,10739,81,DOCKLANDS|NSW,BROOKLANDS|NSW
29218,DOCKLANDS,NSW,,10647,79,DOCKLANDS|NSW,BOURKELANDS|NSW
29218,DOCKLANDS,NSW,,11677,78,DOCKLANDS|NSW,ELANDS|NSW
29222,FOOTSCRAY,NSW,,21112,77,FOOTSCRAY|NSW,FOOTSCRAY|VIC
29222,FOOTSCRAY,NSW,,23325,71,FOOTSCRAY|NSW,WEST FOOTSCRAY|VIC
29222,FOOTSCRAY,NSW,,10611,70,FOOTSCRAY|NSW,BOORAL|NSW
29224,SEDDON,NSW,,41630,84,SEDDON|NSW,SEDDON|SA
29224,SEDDON,NSW,,14186,80,SEDDON|NSW,SANDON|NSW
29224,SEDDON,NSW,,14228,80,SEDDON|NSW,SEFTON|NSW
29226,SEDDON WEST,NSW,,15275,75,SEDDON WEST|NSW,WEST WALLSEND|NSW
29226,SEDDON WEST,NSW,,22717,73,SEDDON WEST|NSW,SEDDON WEST|VIC
29226,SEDDON WEST,NSW,,14285,71,SEDDON WEST|NSW,SMITHFIELD WEST|NSW
29231,KINGSVILLE WEST,NSW,,21638,84,KINGSVILLE WEST|NSW,KINGSVILLE WEST|VIC
29231,KINGSVILLE WEST,NSW,,12609,78,KINGSVILLE WEST|NSW,KINGSWAY WEST|NSW
29231,KINGSVILLE WEST,NSW,,12608,75,KINGSVILLE WEST|NSW,KINGSVALE|NSW
29237,WEST FOOTSCRAY,NSW,,23325,83,WEST FOOTSCRAY|NSW,WEST FOOTSCRAY|VIC
29237,WEST FOOTSCRAY,NSW,,15269,75,WEST FOOTSCRAY|NSW,WEST NOWRA|NSW
29237,WEST FOOTSCRAY,NSW,,15264,73,WEST FOOTSCRAY|NSW,WEST CORAKI|NSW
29241,YARRAVILLE WEST,NSW,,23507,84,YARRAVILLE WEST|NSW,YARRAVILLE WEST|VIC
29241,YARRAVILLE WEST,NSW,,15289,81,YARRAVILLE WEST|NSW,WESTVILLE|NSW
29241,YARRAVILLE WEST,NSW,,15057,73,YARRAVILLE WEST|NSW,VARROVILLE|NSW
29244,SOUTH KINGSVILLE,NSW,,14312,82,SOUTH KINGSVILLE|NSW,SOUTH GRANVILLE|NSW
29244,SOUTH KINGSVILLE,NSW,,14317,80,SOUTH KINGSVILLE|NSW,SOUTH HURSTVILLE|NSW
29244,SOUTH KINGSVILLE,NSW,,22785,80,SOUTH KINGSVILLE|NSW,SOUTH KINGSVILLE|VIC
