rowid,suburb_name,state,postcode,candidate_ssc,score,matched_canonical_key
29202,MELBOURNE,NSW,,12881,82,LORNE|NSW
29204,EAST MELBOURNE,NSW,,20992,83,EAST MELBOURNE|VIC
29206,WEST MELBOURNE,NSW,,23326,83,WEST MELBOURNE|VIC
29208,ST KILDA ROAD CENTRAL,NSW,,22834,84,ST KILDA ROAD CENTRAL|VIC
29212,WORLD TRADE CENTRE,NSW,,23451,82,WORLD TRADE CENTRE|VIC
29214,SOUTH WHARF,NSW,,14698,80,TAREE SOUTH|NSW
29216,SOUTHBANK,NSW,,14334,79,SOUTHAMPTON|NSW
29218,DOCKLANDS,NSW,,10739,81,BROOKLANDS|NSW
29222,FOOTSCRAY,NSW,,21112,77,FOOTSCRAY|VIC
29224,SEDDON,NSW,,41630,84,SEDDON|SA
29226,SEDDON WEST,NSW,,15275,75,WEST WALLSEND|NSW
29231,KINGSVILLE WEST,NSW,,21638,84,KINGSVILLE WEST|VIC
29237,WEST FOOTSCRAY,NSW,,23325,83,WEST FOOTSCRAY|VIC
29241,YARRAVILLE WEST,NSW,,23507,84,YARRAVILLE WEST|VIC
29244,SOUTH KINGSVILLE,NSW,,14312,82,SOUTH GRANVILLE|NSW
29246,SPOTSWOOD,NSW,,14115,80,ROSEWOOD|NSW
29254,SEAHOLME,NSW,,15579,83,YETHOLME|NSW
29258,BRAYBROOK NORTH,NSW,,20395,84,BRAYBROOK NORTH|VIC
29260,ROBINSON,NSW,,14070,80,ROBERTSON|NSW
29264,GLENGALA,NSW,,10368,83,BENGALLA|NSW
29267,SUNSHINE NORTH,NSW,,14461,80,SUNSHINE|NSW
29269,SUNSHINE WEST,NSW,,14461,83,SUNSHINE|NSW
29278,ARDEER,NSW,,10007,82,ABERDEEN|NSW
29280,DEER PARK EAST,NSW,,20876,78,DEER PARK EAST|VIC
29286,CAIRNLEA,NSW,,10956,82,CAMIRA|NSW
29288,CAROLINE SPRINGS,NSW,,20599,80,CAROLINE SPRINGS|VIC
29292,DEER PARK NORTH,NSW,,11665,80,EDENSOR PARK|NSW
29294,RAVENHALL,NSW,,14005,81,RAVENSDALE|NSW
29296,FIELDSTONE,NSW,,11963,81,GLADSTONE|NSW
29298,MAMBOURIN,NSW,,10129,78,AUBURN|NSW
29300,MANOR LAKES,NSW,,12716,81,LAKE MUNMORAH|NSW
29302,MOUNT COTTRELL,NSW,,22152,83,MOUNT COTTRELL|VIC
29304,WYNDHAM VALE,NSW,,15497,81,WYNDHAM|NSW
29306,ALTONA EAST,NSW,,11630,84,EAST BALLINA|NSW
29308,ALTONA GATE,NSW,,20039,80,ALTONA GATE|VIC
29312,DERRIMUT,NSW,,10396,78,BERRIMA|NSW
29316,LAVERTON RAAF,NSW,,50951,79,LAVERTON|WA
29322,ALTONA MEADOWS,NSW,,20040,83,ALTONA MEADOWS|VIC
29330,TARNEIT,NSW,,14696,80,TAREE|NSW
29332,TRUGANINA,NSW,,14692,78,TARANA|NSW
29336,COCOROC,NSW,,11218,82,CONCORD|NSW
29344,WERRIBEE SOUTH,NSW,,14698,79,TAREE SOUTH|NSW
29349,ASCOT VALE,NSW,,11202,81,COLO VALE|NSW
29351,HIGHPOINT CITY,NSW,,21419,83,HIGHPOINT CITY|VIC
29353,MARIBYRNONG,NSW,,12993,81,MARAYONG|NSW
29355,TRAVANCORE,NSW,,14394,77,STANMORE|NSW
29357,KEILOR EAST,NSW,,11641,84,EAST KILLARA|NSW
29361,KEILOR,NSW,,12520,84,KELSO|NSW
29363,KEILOR NORTH,NSW,,21586,81,KEILOR NORTH|VIC
29367,DELAHEY,NSW,,11492,78,DELEGATE|NSW
