ssc,suburb_name,state,postcodes
10001,AARONS PASS,NSW,2850
10002,ABBOTSBURY,NSW,2176
10003,ABBOTSFORD,NSW,2046
10004,ABERCROMBIE,NSW,2795
10005,ABERCROMBIE RIVER,NSW,2795
10006,ABERDARE,NSW,2325
10007,ARDEER,NSW,2336
10008,ABERFOYLE,NSW,2350
10009,ABERGLASSLYN,NSW,2320
10010,ABERMAIN,NSW,2326
10011,ABERNETHY,NSW,2325
10012,ADDINGTON,NSW,2350
10013,ACACIA CREEK,NSW,2476
10014,ACACIA GARDENS,NSW,2763
10015,ACACIA PARK,NSW,2350
10016,ACACIA PLATEAU,NSW,2476
10017,ADAMINABY,NSW,2629
10018,ADAMSTOWN,NSW,2289
10019,ADAMSTOWN HEIGHTS,NSW,2289
10020,ADELONG,NSW,2729
10021,ADJUNGBILLY,NSW,2727
10022,AFTERLEE,NSW,2474
10023,AGNES BANKS,NSW,2753
10024,AIRDS,NSW,2560
10025,BARKLY,NSW,2846
10026,AKOLELE,NSW,2546
10027,AKUNA BAY,NSW,2084
10028,MONT ALBERT,NSW,2873
10029,ALBION PARK,NSW,2527
10030,ALBION PARK RAIL,NSW,2527
10031,AUBREY,NSW,2640
10032,ALBURY MSC,NSW,2708
10033,ALDAVILLA,NSW,2440
10034,ALECTOWN,NSW,2870
10035,ALEXANDRIA,NSW,1435
10036,ALEXANDRIA,NSW,2015
10037,ALEXANDRIA MC,NSW,2004
10038,ALFORDS POINT,NSW,2234
10039,ALFREDTOWN,NSW,2650
10040,ALVIE,NSW,2469
10041,ALICE,NSW,2470
10042,ALISON,NSW,2259
10043,ALISON,NSW,2420
10044,ALLAMBIE,NSW,2100
10045,ALLAMBIE HEIGHTS,NSW,2100
10046,ALLENDALE,NSW,2320
10047,CALLAWADDA,NSW,2218
10048,ALLEENA,NSW,2671
10049,ALLGOMERA,NSW,2441
10050,ALLGOMERA CREEK,NSW,2441
10051,ALLWORTH,NSW,2425
10052,ALLYNBROOK,NSW,2311
10053,ALMA PARK,NSW,2659
10054,MAGPIE,NSW,2575
10055,ALSTONVALE,NSW,2477
10056,ALSTONVILLE,NSW,2477
10057,ALUMY CREEK,NSW,2460
10058,MARNOO,NSW,2866
10059,AMBARVALE,NSW,2560
10060,AMMERDOWN,NSW,2800
10061,AMOSFIELD,NSW,4380
10062,ANABRANCH NORTH,NSW,2648
10063,ANABRANCH SOUTH,NSW,2648
10064,ANAMBAH,NSW,2320
10065,ANDO,NSW,2631
10066,ANEMBO,NSW,2621
10067,ANGLEDALE,NSW,2550
10068,ANGLEDOOL,NSW,2832
10069,ANGLEDOOL,NSW,2834
10070,ANGLERS REACH,NSW,2629
10071,JANCOURT,NSW,2464
10072,ANGUS,NSW,2765
10073,ANGUS PLACE,NSW,2845
10074,ANNA BAY,NSW,2316
10075,ANNANDALE,NSW,2038
10076,ANNANGROVE,NSW,2156
10077,APPIN,NSW,2560
10078,APPLE TREE FLAT,NSW,2850
10079,APPLEBY,NSW,2340
10080,APPLETREE FLAT,NSW,2330
10081,APSLEY,NSW,2820
10082,ARABLE,NSW,2630
10083,ARAKOON,NSW,2431
10084,ARALUEN,NSW,2622
10085,ARMADALE NORTH,NSW,2622
10086,ARATULA,NSW,2714
10087,ARCADIA,NSW,2159
10088,ARCADIA VALE,NSW,2283
10089,ARDGLEN,NSW,2338
10090,ARDING,NSW,2358
10091,ARDLETHAN,NSW,2665
10092,ARGALONG,NSW,2720
10093,ARGENTON,NSW,2284
10094,ARGENTS HILL,NSW,2449
10095,ARGOON,NSW,2707
