rowid,suburb_name,state,postcode,ssc,norm_key,ssc_match,confidence
29202,MELBOURNE,NSW,,,MELBOURNE|NSW,,82
29204,EAST MELBOURNE,NSW,,,EAST MELBOURNE|NSW,,83
29206,WEST MELBOURNE,NSW,,,WEST MELBOURNE|NSW,,83
29208,ST KILDA ROAD CENTRAL,NSW,,,ST KILDA ROAD CENTRAL|NSW,,84
29212,WORLD TRADE CENTRE,NSW,,,WORLD TRADE CENTRE|NSW,,82
29214,SOUTH WHARF,NSW,,,SOUTH WHARF|NSW,,80
29216,SOUTHBANK,NSW,,,SOUTHBANK|NSW,,79
29218,DOCKLANDS,NSW,,,DOCKLANDS|NSW,,81
29222,FOOTSCRAY,NSW,,,FOOTSCRAY|NSW,,77
29224,SEDDON,NSW,,,SEDDON|NSW,,84
29226,SEDDON WEST,NSW,,,SEDDON WEST|NSW,,75
29231,KINGSVILLE WEST,NSW,,,KINGSVILLE WEST|NSW,,84
29237,WEST FOOTSCRAY,NSW,,,WEST FOOTSCRAY|NSW,,83
29241,YARRAVILLE WEST,NSW,,,YARRAVILLE WEST|NSW,,84
29244,SOUTH KINGSVILLE,NSW,,,SOUTH KINGSVILLE|NSW,,82
29246,SPOTSWOOD,NSW,,,SPOTSWOOD|NSW,,80
29254,SEAHOLME,NSW,,,SEAHOLME|NSW,,83
29258,BRAYBROOK NORTH,NSW,,,BRAYBROOK NORTH|NSW,,84
29260,ROBINSON,NSW,,,ROBINSON|NSW,,80
29264,GLENGALA,NSW,,,GLENGALA|NSW,,83
29267,SUNSHINE NORTH,NSW,,,SUNSHINE NORTH|NSW,,80
29269,SUNSHINE WEST,NSW,,,SUNSHINE WEST|NSW,,83
29278,ARDEER,NSW,,,ARDEER|NSW,,82
29280,DEER PARK EAST,NSW,,,DEER PARK EAST|NSW,,78
29286,CAIRNLEA,NSW,,,CAIRNLEA|NSW,,82
29288,CAROLINE SPRINGS,NSW,,,CAROLINE SPRINGS|NSW,,80
29292,DEER PARK NORTH,NSW,,,DEER PARK NORTH|NSW,,80
29294,RAVENHALL,NSW,,,RAVENHALL|NSW,,81
29296,FIELDSTONE,NSW,,,FIELDSTONE|NSW,,81
29298,MAMBOURIN,NSW,,,MAMBOURIN|NSW,,78
29300,MANOR LAKES,NSW,,,MANOR LAKES|NSW,,81
29302,MOUNT COTTRELL,NSW,,,MOUNT COTTRELL|NSW,,83
29304,WYNDHAM VALE,NSW,,,WYNDHAM VALE|NSW,,81
29306,ALTONA EAST,NSW,,,ALTONA EAST|NSW,,84
29308,ALTONA GATE,NSW,,,ALTONA GATE|NSW,,80
29312,DERRIMUT,NSW,,,DERRIMUT|NSW,,78
29316,LAVERTON RAAF,NSW,,,LAVERTON RAAF|NSW,,79
29322,ALTONA MEADOWS,NSW,,,ALTONA MEADOWS|NSW,,83
29330,TARNEIT,NSW,,,TARNEIT|NSW,,80
29332,TRUGANINA,NSW,,,TRUGANINA|NSW,,78
29336,COCOROC,NSW,,,COCOROC|NSW,,82
29344,WERRIBEE SOUTH,NSW,,,WERRIBEE SOUTH|NSW,,79
29349,ASCOT VALE,NSW,,,ASCOT VALE|NSW,,81
29351,HIGHPOINT CITY,NSW,,,HIGHPOINT CITY|NSW,,83
29353,MARIBYRNONG,NSW,,,MARIBYRNONG|NSW,,81
29355,TRAVANCORE,NSW,,,TRAVANCORE|NSW,,77
29357,KEILOR EAST,NSW,,,KEILOR EAST|NSW,,84
29361,KEILOR,NSW,,,KEILOR|NSW,,84
29363,KEILOR NORTH,NSW,,,KEILOR NORTH|NSW,,81
29367,DELAHEY,NSW,,,DELAHEY|NSW,,78
29373,TAYLORS HILL,NSW,,,TAYLORS HILL|NSW,,81
29375,KEILOR DOWNS,NSW,,,KEILOR DOWNS|NSW,,81
29377,KEILOR LODGE,NSW,,,KEILOR LODGE|NSW,,81
29381,WATERGARDENS,NSW,,,WATERGARDENS|NSW,,81
29383,MOONEE PONDS,NSW,,,MOONEE PONDS|NSW,,77
29387,ESSENDON,NSW,,,ESSENDON|NSW,,80
29389,ESSENDON WEST,NSW,,,ESSENDON WEST|NSW,,82
29391,CROSS KEYS,NSW,,,CROSS KEYS|NSW,,83
29393,ESSENDON FIELDS,NSW,,,ESSENDON FIELDS|NSW,,84
29395,ESSENDON NORTH,NSW,,,ESSENDON NORTH|NSW,,83
29399,STRATHMORE HEIGHTS,NSW,,,STRATHMORE HEIGHTS|NSW,,82
29401,AIRPORT WEST,NSW,,,AIRPORT WEST|NSW,,81
29403,KEILOR PARK,NSW,,,KEILOR PARK|NSW,,83
29405,NIDDRIE,NSW,,,NIDDRIE|NSW,,74
29407,NIDDRIE NORTH,NSW,,,NIDDRIE NORTH|NSW,,82
29411,GOWANBRAE,NSW,,,GOWANBRAE|NSW,,82
29415,PASCOE VALE,NSW,,,PASCOE VALE|NSW,,76
29417,PASCOE VALE SOUTH,NSW,,,PASCOE VALE SOUTH|NSW,,81
29429,JACANA,NSW,,,JACANA|NSW,,80
29433,MEADOW HEIGHTS,NSW,,,MEADOW HEIGHTS|NSW,,83
29441,HOTHAM HILL,NSW,,,HOTHAM HILL|NSW,,83
29445,MELBOURNE UNIVERSITY,NSW,,,MELBOURNE UNIVERSITY|NSW,,83
29453,PRINCES HILL,NSW,,,PRINCES HILL|NSW,,84
29455,BRUNSWICK SOUTH,NSW,,,BRUNSWICK SOUTH|NSW,,79
29457,BRUNSWICK WEST,NSW,,,BRUNSWICK WEST|NSW,,83
29461,MORELAND WEST,NSW,,,MORELAND WEST|NSW,,83
29465,BRUNSWICK LOWER,NSW,,,BRUNSWICK LOWER|NSW,,84
29467,BRUNSWICK NORTH,NSW,,,BRUNSWICK NORTH|NSW,,84
29471,LYGON STREET NORTH,NSW,,,LYGON STREET NORTH|NSW,,82
29473,SUMNER,NSW,,,SUMNER|NSW,,80
29479,COBURG NORTH,NSW,,,COBURG NORTH|NSW,,82
29481,MERLYNSTON,NSW,,,MERLYNSTON|NSW,,80
29487,FAWKNER,NSW,,,FAWKNER|NSW,,78
29489,FAWKNER EAST,NSW,,,FAWKNER EAST|NSW,,81
29491,FAWKNER NORTH,NSW,,,FAWKNER NORTH|NSW,,82
29493,CAMPBELLFIELD,NSW,,,CAMPBELLFIELD|NSW,,83
29496,OAKLANDS JUNCTION,NSW,,,OAKLANDS JUNCTION|NSW,,81
29498,YUROKE,NSW,,,YUROKE|NSW,,76
29504,KALKALLO,NSW,,,KALKALLO|NSW,,75
29506,MICKLEHAM,NSW,,,MICKLEHAM|NSW,,77
29508,ROXBURGH PARK,NSW,,,ROXBURGH PARK|NSW,,76
29517,CLIFTON HILL,NSW,,,CLIFTON HILL|NSW,,81
29519,FITZROY NORTH,NSW,,,FITZROY NORTH|NSW,,82
29521,NORTHCOTE,NSW,,,NORTHCOTE|NSW,,81
29523,NORTHCOTE SOUTH,NSW,,,NORTHCOTE SOUTH|NSW,,79
29525,THORNBURY,NSW,,,THORNBURY|NSW,,80
29533,PRESTON LOWER,NSW,,,PRESTON LOWER|NSW,,80
29535,PRESTON SOUTH,NSW,,,PRESTON SOUTH|NSW,,83
29539,REGENT WEST,NSW,,,REGENT WEST|NSW,,83
29541,SYLVESTER,NSW,,,SYLVESTER|NSW,,79
29545,RESERVOIR,NSW,,,RESERVOIR|NSW,,72
29547,RESERVOIR EAST,NSW,,,RESERVOIR EAST|NSW,,78
29549,RESERVOIR NORTH,NSW,,,RESERVOIR NORTH|NSW,,79
29551,RESERVOIR SOUTH,NSW,,,RESERVOIR SOUTH|NSW,,79
29553,THOMASTOWN,NSW,,,THOMASTOWN|NSW,,77
29555,LALOR,NSW,,,LALOR|NSW,,84
29557,LALOR PLAZA,NSW,,,LALOR PLAZA|NSW,,83
29567,IVANHOE EAST,NSW,,,IVANHOE EAST|NSW,,81
29569,IVANHOE NORTH,NSW,,,IVANHOE NORTH|NSW,,82
29575,HEIDELBERG RGH,NSW,,,HEIDELBERG RGH|NSW,,78
29577,HEIDELBERG WEST,NSW,,,HEIDELBERG WEST|NSW,,84
29583,KINGSBURY,NSW,,,KINGSBURY|NSW,,77
29585,LA TROBE UNIVERSITY,NSW,,,LA TROBE UNIVERSITY|NSW,,83
29587,BANYULE,NSW,,,BANYULE|NSW,,80
29591,HEIDELBERG,NSW,,,HEIDELBERG|NSW,,79
29593,ROSANNA,NSW,,,ROSANNA|NSW,,80
29595,VIEWBANK,NSW,,,VIEWBANK|NSW,,78
29599,MACLEOD WEST,NSW,,,MACLEOD WEST|NSW,,81
29602,WATSONIA,NSW,,,WATSONIA|NSW,,82
29604,WATSONIA NORTH,NSW,,,WATSONIA NORTH|NSW,,83
29615,PLENTY,NSW,,,PLENTY|NSW,,76
29619,LOWER PLENTY,NSW,,,LOWER PLENTY|NSW,,76
29621,MONTMORENCY,NSW,,,MONTMORENCY|NSW,,81
29624,ELTHAM NORTH,NSW,,,ELTHAM NORTH|NSW,,83
29626,RESEARCH,NSW,,,RESEARCH|NSW,,78
29628,WATTLE GLEN,NSW,,,WATTLE GLEN|NSW,,84
29630,BEND OF ISLANDS,NSW,,,BEND OF ISLANDS|NSW,,79
29632,KANGAROO GROUND,NSW,,,KANGAROO GROUND|NSW,,84
29637,COTTLES BRIDGE,NSW,,,COTTLES BRIDGE|NSW,,83
29639,HURSTBRIDGE,NSW,,,HURSTBRIDGE|NSW,,80
29641,NUTFIELD,NSW,,,NUTFIELD|NSW,,81
29648,KEW EAST,NSW,,,KEW EAST|NSW,,80
29650,BALWYN,NSW,,,BALWYN|NSW,,82
29652,BALWYN EAST,NSW,,,BALWYN EAST|NSW,,84
29656,DEEPDENE DC,NSW,,,DEEPDENE DC|NSW,,80
29658,STRADBROKE PARK,NSW,,,STRADBROKE PARK|NSW,,79
29660,BALWYN NORTH,NSW,,,BALWYN NORTH|NSW,,84
29662,GREYTHORN,NSW,,,GREYTHORN|NSW,,81
